
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: '<think>' | Latency: 260.42ms
Token 126: ' and' | Latency: 7.81ms
Token 127: ' how' | Latency: 7.52ms
Token 128: ' recursion' | Latency: 7.08ms
Token 129: ' breaks' | Latency: 6.99ms
Token 130: ' down' | Latency: 7.07ms
Token 131: ' problems' | Latency: 7.04ms
Token 132: '.

' | Latency: 7.06ms
Token 133: 'Then' | Latency: 7.82ms
Token 134: ' there' | Latency: 7.70ms
Token 135: ''s' | Latency: 7.02ms
Token 136: ' the' | Latency: 7.04ms
Token 137: ' idea' | Latency: 7.80ms
Token 138: ' that' | Latency: 7.70ms
Token 139: ' breaking' | Latency: 6.99ms
Token 140: ' down' | Latency: 7.06ms
Token 141: ' a' | Latency: 7.27ms
Token 142: ' big' | Latency: 7.64ms
Token 143: ' problem' | Latency: 7.16ms
Token 144: ' into' | Latency: 8.07ms
Token 145: ' smaller' | Latency: 8.06ms
Token 146: ' parts' | Latency: 7.92ms
Token 147: ' helps' | Latency: 7.69ms
Token 148: ' in' | Latency: 7.24ms
Token 149: ' solving' | Latency: 7.29ms
Token 150: ' complex' | Latency: 7.77ms
Token 151: ' tasks' | Latency: 6.99ms
Token 152: ' more' | Latency: 7.07ms
Token 153: ' easily' | Latency: 7.07ms
Token 154: '.' | Latency: 7.69ms
Token 155: ' I' | Latency: 6.97ms
Token 156: ''ve' | Latency: 7.08ms
Token 157: ' heard' | Latency: 7.11ms
Token 158: ' this' | Latency: 7.12ms
Token 159: ' before' | Latency: 7.32ms
Token 160: ';' | Latency: 7.83ms
Token 161: ' maybe' | Latency: 7.84ms
Token 162: ' the' | Latency: 7.07ms
Token 163: ' third' | Latency: 7.93ms
Token 164: ' sentence' | Latency: 7.78ms
Token 165: ' should' | Latency: 7.87ms
Token 166: ' highlight' | Latency: 7.11ms
Token 167: ' how' | Latency: 7.12ms
Token 168: ' recursion' | Latency: 7.10ms
Token 169: ' simpl' | Latency: 7.13ms
Token 170: 'ifies' | Latency: 7.07ms
Token 171: ' such' | Latency: 7.08ms
Token 172: ' tasks' | Latency: 7.06ms
Token 173: ' by' | Latency: 7.06ms
Token 174: ' dividing' | Latency: 7.08ms
Token 175: ' them' | Latency: 7.06ms
Token 176: ' into' | Latency: 7.08ms
Token 177: ' manageable' | Latency: 7.04ms
Token 178: ' steps' | Latency: 7.07ms
Token 179: '.

' | Latency: 7.07ms
Token 180: 'Wait' | Latency: 7.07ms
Token 181: ',' | Latency: 7.04ms
Token 182: ' do' | Latency: 7.07ms
Token 183: ' I' | Latency: 7.04ms
Token 184: ' need' | Latency: 7.08ms
Token 185: ' to' | Latency: 7.08ms
Token 186: ' mention' | Latency: 7.13ms
Token 187: ' anything' | Latency: 7.11ms
Token 188: ' about' | Latency: 7.11ms
Token 189: ' stack' | Latency: 7.90ms
Token 190: ' overflow' | Latency: 7.85ms
Token 191: ' or' | Latency: 7.79ms
Token 192: ' infinite' | Latency: 7.50ms
Token 193: ' loops' | Latency: 7.14ms
Token 194: '?' | Latency: 7.11ms
Token 195: ' Probably' | Latency: 7.14ms
Token 196: ' not' | Latency: 6.99ms
Token 197: ' because' | Latency: 6.96ms
Token 198: ' those' | Latency: 7.01ms
Token 199: ' are' | Latency: 6.98ms
Token 200: ' edge' | Latency: 7.75ms
Token 201: ' cases' | Latency: 7.82ms
Token 202: ' and' | Latency: 7.57ms
Token 203: ' might' | Latency: 7.57ms
Token 204: ' comp' | Latency: 7.61ms
Token 205: 'licate' | Latency: 7.58ms
Token 206: ' the' | Latency: 7.56ms
Token 207: ' explanation' | Latency: 7.53ms
Token 208: ' beyond' | Latency: 6.91ms
Token 209: ' three' | Latency: 6.94ms
Token 210: ' sentences' | Latency: 7.00ms
Token 211: '.' | Latency: 6.96ms
Token 212: ' So' | Latency: 7.00ms
Token 213: ' summar' | Latency: 7.14ms
Token 214: 'izing' | Latency: 7.66ms
Token 215: ':' | Latency: 6.85ms
Token 216: ' a' | Latency: 7.01ms
Token 217: ' function' | Latency: 6.96ms
Token 218: ' calls' | Latency: 6.99ms
Token 219: ' itself' | Latency: 7.00ms
Token 220: ' (' | Latency: 6.95ms
Token 221: 'base' | Latency: 7.77ms
Token 222: ' case' | Latency: 7.52ms
Token 223: ' stops' | Latency: 7.51ms
Token 224: ' it' | Latency: 7.53ms
Token 225: '),' | Latency: 7.88ms
Token 226: ' breaks' | Latency: 7.55ms
Token 227: ' down' | Latency: 7.53ms
Token 228: ' problems' | Latency: 6.94ms
Token 229: ',' | Latency: 6.98ms
Token 230: ' making' | Latency: 7.00ms
Token 231: ' complex' | Latency: 6.97ms
Token 232: ' tasks' | Latency: 7.02ms
Token 233: ' easier' | Latency: 7.68ms
Token 234: '.
' | Latency: 7.52ms
Token 235: '</think>' | Latency: 7.54ms
Token 236: '

' | Latency: 7.55ms
Token 237: 'Rec' | Latency: 7.75ms
Token 238: 'ursion' | Latency: 7.53ms
Token 239: ' is' | Latency: 6.91ms
Token 240: ' a' | Latency: 6.99ms
Token 241: ' programming' | Latency: 7.66ms
Token 242: ' technique' | Latency: 10.19ms
Token 243: ' where' | Latency: 7.00ms
Token 244: ' a' | Latency: 7.76ms
Token 245: ' function' | Latency: 7.65ms
Token 246: ' calls' | Latency: 6.99ms
Token 247: ' itself' | Latency: 7.03ms
Token 248: ' to' | Latency: 7.70ms
Token 249: ' solve' | Latency: 7.58ms
Token 250: ' smaller' | Latency: 6.98ms
Token 251: ' sub' | Latency: 7.06ms
Token 252: '-pro' | Latency: 7.80ms
Token 253: 'blems' | Latency: 7.60ms
Token 254: ' until' | Latency: 7.04ms
Token 255: ' reaching' | Latency: 6.99ms
Token 256: ' a' | Latency: 7.00ms
Token 257: ' base' | Latency: 7.21ms
Token 258: ' case' | Latency: 7.05ms
Token 259: ' that' | Latency: 6.99ms
Token 260: ' provides' | Latency: 7.00ms
Token 261: ' a' | Latency: 7.04ms
Token 262: ' direct' | Latency: 7.09ms
Token 263: ' solution' | Latency: 7.07ms
Token 264: '.' | Latency: 7.07ms
Token 265: ' It' | Latency: 7.32ms
Token 266: ' systematically' | Latency: 7.28ms
Token 267: ' breaks' | Latency: 8.13ms
Token 268: ' down' | Latency: 7.67ms
Token 269: ' a' | Latency: 7.62ms
Token 270: ' problem' | Latency: 7.02ms
Token 271: ' into' | Latency: 6.99ms
Token 272: ' simpler' | Latency: 7.07ms
Token 273: ' parts' | Latency: 7.23ms
Token 274: ',' | Latency: 7.63ms
Token 275: ' enabling' | Latency: 6.96ms
Token 276: ' efficient' | Latency: 7.07ms
Token 277: ' handling' | Latency: 7.04ms
Token 278: ' of' | Latency: 7.23ms
Token 279: ' complex' | Latency: 7.61ms
Token 280: ' tasks' | Latency: 7.00ms
Token 281: ' by' | Latency: 7.01ms
Token 282: ' leveraging' | Latency: 7.27ms
Token 283: ' the' | Latency: 7.64ms
Token 284: ' same' | Latency: 7.00ms
Token 285: ' approach' | Latency: 7.03ms
Token 286: ' repeatedly' | Latency: 7.77ms
Token 287: ' with' | Latency: 7.55ms
Token 288: ' diminishing' | Latency: 7.01ms
Token 289: ' complexity' | Latency: 7.05ms
Token 290: ' levels' | Latency: 7.06ms
Token 291: '.' | Latency: 7.02ms
Token 292: ' This' | Latency: 7.06ms
Token 293: ' process' | Latency: 7.04ms
Token 294: ' ensures' | Latency: 7.79ms
Token 295: ' that' | Latency: 7.61ms
Token 296: ' each' | Latency: 7.03ms
Token 297: ' step' | Latency: 7.07ms
Token 298: ' contributes' | Latency: 7.25ms
Token 299: ' towards' | Latency: 7.69ms
Token 300: ' solving' | Latency: 6.96ms
Token 301: ' the' | Latency: 7.08ms
Token 302: ' overall' | Latency: 7.06ms
Token 303: ' problem' | Latency: 7.50ms
Token 304: ' without' | Latency: 6.68ms
Token 305: ' requiring' | Latency: 7.05ms
Token 306: ' nested' | Latency: 7.00ms
Token 307: ' loops' | Latency: 7.07ms
Token 308: ' or' | Latency: 7.43ms
Token 309: ' excessive' | Latency: 7.45ms
Token 310: ' conditional' | Latency: 7.09ms
Token 311: ' checks' | Latency: 7.05ms
Token 312: '.' | Latency: 7.03ms

--- Summary ---
Total tokens: 312
TTFT: 260.42ms
TPOT: 8.33ms
ITL Mean: 7.48ms
Throughput: 119.98 tok/s

============================================================
Request 2/5
Prompt: What are the main differences between Python and C++?
============================================================
Token 1: '<think>' | Latency: 210.78ms
Token 2: '
' | Latency: 8.84ms
Token 3: 'Okay' | Latency: 6.82ms
Token 4: ',' | Latency: 7.01ms
Token 5: ' so' | Latency: 6.97ms
Token 6: ' I' | Latency: 7.02ms
Token 7: ' need' | Latency: 8.15ms
Token 8: ' to' | Latency: 7.61ms
Token 9: ' figure' | Latency: 7.51ms
Token 10: ' out' | Latency: 7.08ms
Token 11: ' the' | Latency: 7.11ms
Token 12: ' main' | Latency: 7.12ms
Token 13: ' differences' | Latency: 7.13ms
Token 14: ' between' | Latency: 7.10ms
Token 15: ' Python' | Latency: 7.11ms
Token 16: ' and' | Latency: 7.08ms
Token 17: ' C' | Latency: 7.14ms
Token 18: '++.' | Latency: 7.08ms
Token 19: ' Hmm' | Latency: 7.15ms
Token 20: ',' | Latency: 7.15ms
Token 21: ' where' | Latency: 7.18ms
Token 22: ' do' | Latency: 7.16ms
Token 23: ' I' | Latency: 8.00ms
Token 24: ' start' | Latency: 7.81ms
Token 25: '?' | Latency: 7.07ms
Token 26: ' I' | Latency: 7.16ms
Token 27: ' know' | Latency: 7.14ms
Token 28: ' both' | Latency: 7.79ms
Token 29: ' are' | Latency: 7.49ms
Token 30: ' programming' | Latency: 6.97ms
Token 31: ' languages' | Latency: 7.03ms
Token 32: ',' | Latency: 7.27ms
Token 33: ' but' | Latency: 8.05ms
Token 34: ' they' | Latency: 7.67ms
Token 35: ''re' | Latency: 7.56ms
Token 36: ' used' | Latency: 7.01ms
Token 37: ' differently' | Latency: 7.04ms
Token 38: '.' | Latency: 7.09ms
Token 39: ' Let' | Latency: 7.08ms
Token 40: ' me' | Latency: 7.08ms
Token 41: ' think' | Latency: 7.79ms
Token 42: ' about' | Latency: 7.75ms
Token 43: ' what' | Latency: 7.02ms
Token 44: ' each' | Latency: 7.13ms
Token 45: ' is' | Latency: 8.20ms
Token 46: ' typically' | Latency: 7.71ms
Token 47: ' used' | Latency: 6.99ms
Token 48: ' for' | Latency: 7.11ms
Token 49: '.

' | Latency: 7.80ms
Token 50: 'Python' | Latency: 7.86ms
Token 51: ' seems' | Latency: 7.03ms
Token 52: ' really' | Latency: 7.14ms
Token 53: ' popular' | Latency: 7.08ms
Token 54: ' these' | Latency: 7.72ms
Token 55: ' days' | Latency: 7.67ms
Token 56: '.' | Latency: 7.83ms
Token 57: ' I' | Latency: 7.67ms
Token 58: ''ve' | Latency: 8.34ms
Token 59: ' heard' | Latency: 7.66ms
Token 60: ' it' | Latency: 7.76ms
Token 61: ''s' | Latency: 6.99ms
Token 62: ' good' | Latency: 7.10ms
Token 63: ' for' | Latency: 7.10ms
Token 64: ' scripting' | Latency: 7.12ms
Token 65: ',' | Latency: 7.11ms
Token 66: ' web' | Latency: 7.12ms
Token 67: ' development' | Latency: 7.11ms
Token 68: ',' | Latency: 7.11ms
Token 69: ' data' | Latency: 7.09ms
Token 70: ' analysis' | Latency: 7.13ms
Token 71: '.' | Latency: 7.11ms
Token 72: ' Maybe' | Latency: 7.17ms
Token 73: ' it' | Latency: 7.14ms
Token 74: ''s' | Latency: 7.17ms
Token 75: ' more' | Latency: 8.23ms
Token 76: ' high' | Latency: 7.80ms
Token 77: '-level' | Latency: 7.75ms
Token 78: ' or' | Latency: 7.06ms
Token 79: ' easier' | Latency: 8.08ms
Token 80: ' to' | Latency: 7.78ms
Token 81: ' learn' | Latency: 8.35ms
Token 82: '.' | Latency: 7.83ms
Token 83: ' Oh' | Latency: 8.10ms
Token 84: ' right' | Latency: 7.78ms
Token 85: ',' | Latency: 7.78ms
Token 86: ' Python' | Latency: 7.05ms
Token 87: ' has' | Latency: 7.67ms
Token 88: ' a' | Latency: 8.00ms
Token 89: ' syntax' | Latency: 7.71ms
Token 90: ' that' | Latency: 7.49ms
Token 91: ''s' | Latency: 7.09ms
Token 92: ' simpler' | Latency: 7.09ms
Token 93: ' than' | Latency: 7.10ms
Token 94: ' C' | Latency: 7.10ms
Token 95: '++,' | Latency: 7.09ms
Token 96: ' which' | Latency: 7.16ms
Token 97: ' makes' | Latency: 7.08ms
Token 98: ' sense' | Latency: 7.16ms
Token 99: ' because' | Latency: 7.11ms
Token 100: ' people' | Latency: 7.15ms
Token 101: ' say' | Latency: 7.12ms
Token 102: ' it' | Latency: 7.15ms
Token 103: ''s' | Latency: 8.17ms
Token 104: ' great' | Latency: 7.81ms
Token 105: ' for' | Latency: 7.02ms
Token 106: ' beginners' | Latency: 7.15ms
Token 107: '.

' | Latency: 7.14ms
Token 108: 'C' | Latency: 8.22ms
Token 109: '++' | Latency: 7.73ms
Token 110: ' on' | Latency: 7.06ms
Token 111: ' the' | Latency: 7.09ms
Token 112: ' other' | Latency: 7.95ms
Token 113: ' hand' | Latency: 7.74ms
Token 114: ' is' | Latency: 7.11ms
Token 115: ' often' | Latency: 7.11ms
Token 116: ' called' | Latency: 7.94ms
Token 117: ' a' | Latency: 7.76ms
Token 118: ' low' | Latency: 7.07ms
Token 119: '-level' | Latency: 7.12ms
Token 120: ' language' | Latency: 7.94ms
Token 121: '.' | Latency: 7.72ms
Token 122: ' I' | Latency: 7.09ms
Token 123: ' think' | Latency: 7.07ms
Token 124: ' that' | Latency: 7.98ms
Token 125: ' means' | Latency: 7.72ms
Token 126: ' you' | Latency: 7.10ms
Token 127: ' have' | Latency: 7.11ms
Token 128: ' to' | Latency: 7.39ms
Token 129: ' manage' | Latency: 7.73ms
Token 130: ' memory' | Latency: 7.07ms
Token 131: ' manually' | Latency: 7.08ms
Token 132: ',' | Latency: 7.11ms
Token 133: ' like' | Latency: 7.10ms
Token 134: ' with' | Latency: 7.13ms
Token 135: ' pointers' | Latency: 7.02ms
Token 136: ' and' | Latency: 7.12ms
Token 137: ' references' | Latency: 7.08ms
Token 138: '.' | Latency: 7.12ms
Token 139: ' That' | Latency: 7.82ms
Token 140: ' must' | Latency: 8.24ms
Token 141: ' make' | Latency: 7.80ms
Token 142: ' it' | Latency: 7.73ms
Token 143: ' slower' | Latency: 7.91ms
Token 144: ' or' | Latency: 7.89ms
Token 145: ' more' | Latency: 7.93ms
Token 146: ' complicated' | Latency: 7.48ms
Token 147: ' to' | Latency: 7.17ms
Token 148: ' use' | Latency: 7.18ms
Token 149: ' compared' | Latency: 7.22ms
Token 150: ' to' | Latency: 7.94ms
Token 151: ' Python' | Latency: 7.86ms
Token 152: '.' | Latency: 6.99ms
Token 153: ' Also' | Latency: 7.17ms
Token 154: ',' | Latency: 7.13ms
Token 155: ' in' | Latency: 7.17ms
Token 156: ' C' | Latency: 7.14ms
Token 157: '++,' | Latency: 7.18ms
Token 158: ' you' | Latency: 7.17ms
Token 159: ' can' | Latency: 7.19ms
Token 160: ' do' | Latency: 7.11ms
Token 161: ' things' | Latency: 7.19ms
Token 162: ' like' | Latency: 7.13ms
Token 163: ' pointer' | Latency: 7.40ms
Token 164: ' arithmetic' | Latency: 8.30ms
Token 165: ' which' | Latency: 8.27ms
Token 166: ' sounds' | Latency: 7.90ms
Token 167: ' tricky' | Latency: 7.87ms
Token 168: '.

' | Latency: 7.06ms
Token 169: 'I' | Latency: 7.19ms
Token 170: ' remember' | Latency: 7.40ms
Token 171: ' something' | Latency: 7.97ms
Token 172: ' about' | Latency: 7.75ms
Token 173: ' static' | Latency: 7.84ms
Token 174: ' versus' | Latency: 7.84ms
Token 175: ' dynamic' | Latency: 7.82ms
Token 176: ' typing' | Latency: 6.99ms
Token 177: '.' | Latency: 7.13ms
Token 178: ' Python' | Latency: 7.92ms
Token 179: ' is' | Latency: 7.74ms
Token 180: ' dynamically' | Latency: 7.02ms
Token 181: ' typed' | Latency: 7.11ms
Token 182: ',' | Latency: 7.14ms
Token 183: ' so' | Latency: 7.95ms
Token 184: ' variables' | Latency: 7.78ms
Token 185: ' don' | Latency: 7.09ms
Token 186: ''t' | Latency: 7.12ms
Token 187: ' have' | Latency: 7.94ms
Token 188: ' fixed' | Latency: 7.60ms
Token 189: ' types' | Latency: 7.13ms
Token 190: '.' | Latency: 7.13ms
Token 191: ' You' | Latency: 7.18ms
Token 192: ' can' | Latency: 7.14ms
Token 193: ' change' | Latency: 7.17ms
Token 194: ' what' | Latency: 7.17ms
Token 195: ' a' | Latency: 7.87ms
Token 196: ' variable' | Latency: 7.90ms
Token 197: ' holds' | Latency: 7.10ms
Token 198: ' without' | Latency: 7.14ms
Token 199: ' declaring' | Latency: 7.82ms
Token 200: ' its' | Latency: 7.91ms
Token 201: ' type' | Latency: 7.05ms
Token 202: ' again' | Latency: 7.16ms
Token 203: '.' | Latency: 7.96ms
Token 204: ' But' | Latency: 8.11ms
Token 205: ' C' | Latency: 6.81ms
Token 206: '++' | Latency: 7.17ms
Token 207: ' uses' | Latency: 7.90ms
Token 208: ' static' | Latency: 7.81ms
Token 209: ' typing' | Latency: 7.06ms
Token 210: ' with' | Latency: 7.16ms
Token 211: ' compile' | Latency: 8.16ms
Token 212: '-time' | Latency: 7.87ms
Token 213: ' checks' | Latency: 7.04ms
Token 214: ',' | Latency: 7.18ms
Token 215: ' right' | Latency: 7.13ms
Token 216: '?' | Latency: 7.16ms
Token 217: ' That' | Latency: 7.16ms
Token 218: ' means' | Latency: 7.16ms
Token 219: ' you' | Latency: 7.13ms
Token 220: ' declare' | Latency: 8.41ms
Token 221: ' the' | Latency: 8.28ms
Token 222: ' type' | Latency: 7.77ms
Token 223: ' at' | Latency: 7.60ms
Token 224: ' the' | Latency: 7.40ms
Token 225: ' beginning' | Latency: 7.89ms
Token 226: ' and' | Latency: 7.86ms
Token 227: ' then' | Latency: 7.09ms
Token 228: ' everything' | Latency: 7.94ms
Token 229: ' has' | Latency: 7.82ms
Token 230: ' to' | Latency: 7.88ms
Token 231: ' fit' | Latency: 7.34ms
Token 232: ' within' | Latency: 7.77ms
Token 233: ' that' | Latency: 7.89ms
Token 234: '.

' | Latency: 7.09ms
Token 235: 'Another' | Latency: 7.14ms
Token 236: ' thing' | Latency: 7.18ms
Token 237: ' I' | Latency: 7.10ms
Token 238: ' heard' | Latency: 8.28ms
Token 239: ' about' | Latency: 7.81ms
Token 240: ' is' | Latency: 7.91ms
Token 241: ' libraries' | Latency: 7.10ms
Token 242: ' and' | Latency: 7.14ms
Token 243: ' frameworks' | Latency: 7.12ms
Token 244: '.' | Latency: 8.55ms
Token 245: ' Python' | Latency: 7.19ms
Token 246: ' comes' | Latency: 7.82ms
Token 247: ' with' | Latency: 7.98ms
Token 248: ' standard' | Latency: 7.12ms
Token 249: ' libraries' | Latency: 7.16ms
Token 250: ' for' | Latency: 7.91ms
Token 251: ' many' | Latency: 7.76ms
Token 252: ' tasks' | Latency: 7.06ms
Token 253: ',' | Latency: 7.16ms
Token 254: ' like' | Latency: 7.98ms
Token 255: ' handling' | Latency: 7.88ms
Token 256: ' files' | Latency: 7.07ms
Token 257: ' or' | Latency: 7.16ms
Token 258: ' networking' | Latency: 8.00ms
Token 259: ',' | Latency: 7.75ms
Token 260: ' which' | Latency: 7.05ms
Token 261: ' saves' | Latency: 7.13ms
Token 262: ' a' | Latency: 7.16ms
Token 263: ' lot' | Latency: 7.13ms
Token 264: ' of' | Latency: 7.15ms
Token 265: ' time' | Latency: 7.15ms
Token 266: ' compared' | Latency: 7.16ms
Token 267: ' to' | Latency: 7.16ms
Token 268: ' building' | Latency: 7.17ms
Token 269: ' everything' | Latency: 7.13ms
Token 270: ' from' | Latency: 7.14ms
Token 271: ' scratch' | Latency: 7.16ms
Token 272: ' in' | Latency: 7.43ms
Token 273: ' C' | Latency: 7.70ms
Token 274: '++.' | Latency: 8.36ms
Token 275: ' In' | Latency: 7.92ms
Token 276: ' contrast' | Latency: 7.87ms
Token 277: ',' | Latency: 7.12ms
Token 278: ' C' | Latency: 7.19ms
Token 279: '++' | Latency: 7.19ms
Token 280: ' relies' | Latency: 7.97ms
Token 281: ' heavily' | Latency: 7.88ms
Token 282: ' on' | Latency: 7.92ms
Token 283: ' external' | Latency: 7.16ms
Token 284: ' libraries' | Latency: 7.19ms
Token 285: ' which' | Latency: 7.13ms
Token 286: ' you' | Latency: 7.15ms
Token 287: ' have' | Latency: 7.14ms
Token 288: ' to' | Latency: 7.91ms
Token 289: ' include' | Latency: 7.80ms
Token 290: ' separately' | Latency: 7.27ms
Token 291: '.' | Latency: 7.15ms
Token 292: ' So' | Latency: 7.18ms
Token 293: ' if' | Latency: 7.14ms
Token 294: ' your' | Latency: 7.16ms
Token 295: ' project' | Latency: 7.16ms
Token 296: ' doesn' | Latency: 7.94ms
Token 297: ''t' | Latency: 7.85ms
Token 298: ' use' | Latency: 7.07ms
Token 299: ' those' | Latency: 7.16ms
Token 300: ' libraries' | Latency: 7.16ms
Token 301: ',' | Latency: 7.99ms
Token 302: ' you' | Latency: 7.84ms
Token 303: ' might' | Latency: 7.72ms
Token 304: ' not' | Latency: 7.16ms
Token 305: ' get' | Latency: 7.65ms
Token 306: ' any' | Latency: 7.80ms
Token 307: ' functionality' | Latency: 8.20ms
Token 308: '.

' | Latency: 7.80ms
Token 309: 'Performance' | Latency: 7.90ms
Token 310: '-wise' | Latency: 7.14ms
Token 311: ',' | Latency: 7.15ms
Token 312: ' I' | Latency: 7.15ms
Token 313: ' think' | Latency: 8.20ms
Token 314: ' Python' | Latency: 8.24ms
Token 315: ' is' | Latency: 8.22ms
Token 316: ' slower' | Latency: 7.84ms
Token 317: ' because' | Latency: 8.17ms
Token 318: ' it' | Latency: 7.94ms
Token 319: ''s' | Latency: 7.01ms
Token 320: ' interpreted' | Latency: 7.19ms
Token 321: ' and' | Latency: 7.88ms
Token 322: ' has' | Latency: 7.83ms
Token 323: ' more' | Latency: 7.08ms
Token 324: ' overhead' | Latency: 7.17ms
Token 325: ' with' | Latency: 7.81ms
Token 326: ' dynamic' | Latency: 7.87ms
Token 327: ' typing' | Latency: 7.06ms
Token 328: '.' | Latency: 7.16ms
Token 329: ' But' | Latency: 7.14ms
Token 330: ' wait' | Latency: 8.35ms
