
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Recursion' | Latency: 284.75ms
' | Latency: 20.22ms

--- Summary ---
Total tokens: 58
TTFT: 284.75ms
TPOT: 24.79ms
ITL Mean: 19.89ms
Throughput: 40.34 tok/s

============================================================
Request 2/5
Prompt: What are the main differences between Python and C++?
============================================================
Token 1: 'Python' | Latency: 302.20ms
Token 2: ' and' | Latency: 22.18ms
Token 3: ' C' | Latency: 17.92ms
Token 4: '++' | Latency: 18.32ms
Token 5: ' are' | Latency: 18.65ms
Token 6: ' powerful' | Latency: 18.66ms
Token 7: ' programming' | Latency: 18.84ms
Token 8: ' languages' | Latency: 18.43ms
Token 9: ',' | Latency: 18.48ms
Token 10: ' but' | Latency: 20.51ms
Token 11: ' they' | Latency: 20.53ms
Token 12: ' have' | Latency: 18.62ms
Token 13: ' distinct' | Latency: 18.61ms
Token 14: ' characteristics' | Latency: 18.73ms
Token 15: ' that' | Latency: 18.73ms
Token 16: ' make' | Latency: 18.78ms
Token 17: ' them' | Latency: 18.83ms
Token 18: ' suitable' | Latency: 18.56ms
Token 19: ' for' | Latency: 19.59ms
Token 20: ' different' | Latency: 19.73ms
Token 21: ' tasks' | Latency: 18.53ms
Token 22: '.' | Latency: 18.70ms
Token 23: ' Here' | Latency: 19.74ms
Token 24: ''' | Latency: 18.59ms
Token 25: 's' | Latency: 18.58ms
Token 26: ' a' | Latency: 18.85ms
Token 27: ' breakdown' | Latency: 18.69ms
Token 28: ' of' | Latency: 18.58ms
Token 29: ' their' | Latency: 18.61ms
Token 30: ' key' | Latency: 18.66ms
Token 31: ' differences' | Latency: 18.67ms
Token 32: ':' | Latency: 18.59ms
Token 33: '

' | Latency: 18.72ms
Token 34: '**' | Latency: 18.57ms
Token 35: '1' | Latency: 18.89ms
Token 36: '.' | Latency: 18.66ms
Token 37: ' Typing' | Latency: 18.93ms
Token 38: ':**' | Latency: 18.98ms
Token 39: '

' | Latency: 18.60ms
Token 40: '*' | Latency: 18.60ms
Token 41: ' **' | Latency: 18.78ms
Token 42: 'Python' | Latency: 18.64ms
Token 43: ':**' | Latency: 19.84ms
Token 44: ' Dynamic' | Latency: 18.65ms
Token 45: 'ally' | Latency: 18.70ms
Token 46: ' typed' | Latency: 18.77ms
Token 47: '.' | Latency: 18.83ms
Token 48: ' You' | Latency: 18.93ms
Token 49: ' don' | Latency: 18.84ms
Token 50: ''' | Latency: 18.91ms
Token 51: 't' | Latency: 18.79ms
Token 52: ' need' | Latency: 18.73ms
Token 53: ' to' | Latency: 20.60ms
Token 54: ' explicitly' | Latency: 20.17ms
Token 55: ' declare' | Latency: 19.26ms
Token 56: ' variable' | Latency: 18.69ms
Token 57: ' types' | Latency: 18.64ms
Token 58: ';' | Latency: 18.67ms
Token 59: ' Python' | Latency: 18.67ms
Token 60: ' inf' | Latency: 18.84ms
Token 61: 'ers' | Latency: 18.62ms
Token 62: ' them' | Latency: 19.82ms
Token 63: ' at' | Latency: 18.64ms
Token 64: ' runtime' | Latency: 19.83ms
Token 65: '.' | Latency: 20.81ms
Token 66: ' This' | Latency: 18.88ms
Token 67: ' makes' | Latency: 18.57ms
Token 68: ' coding' | Latency: 20.23ms
Token 69: ' faster' | Latency: 18.71ms
Token 70: ' but' | Latency: 20.10ms
Token 71: ' can' | Latency: 18.70ms
Token 72: ' lead' | Latency: 20.08ms
Token 73: ' to' | Latency: 20.96ms
Token 74: ' type' | Latency: 20.71ms
Token 75: '-' | Latency: 18.63ms
Token 76: 'related' | Latency: 20.89ms
Token 77: ' errors' | Latency: 18.72ms
Token 78: ' during' | Latency: 18.72ms
Token 79: ' execution' | Latency: 18.82ms
Token 80: '.' | Latency: 18.64ms
Token 81: '
' | Latency: 18.70ms
Token 82: '*' | Latency: 18.66ms
Token 83: ' **' | Latency: 18.60ms
Token 84: 'C' | Latency: 18.74ms
Token 85: '++' | Latency: 18.58ms
Token 86: ':**' | Latency: 18.81ms
Token 87: ' Stat' | Latency: 18.63ms
Token 88: 'ically' | Latency: 18.80ms
Token 89: ' typed' | Latency: 18.72ms
Token 90: '.' | Latency: 18.80ms
Token 91: '  ' | Latency: 18.75ms
Token 92: 'You' | Latency: 18.85ms
Token 93: ' must' | Latency: 18.64ms
Token 94: ' specify' | Latency: 18.68ms
Token 95: ' the' | Latency: 18.60ms
Token 96: ' data' | Latency: 18.75ms
Token 97: ' type' | Latency: 18.55ms
Token 98: ' of' | Latency: 18.72ms
Token 99: ' variables' | Latency: 18.73ms
Token 100: ' when' | Latency: 18.74ms
Token 101: ' declaring' | Latency: 18.81ms
Token 102: ' them' | Latency: 18.85ms
Token 103: '.' | Latency: 18.80ms
Token 104: ' This' | Latency: 18.93ms
Token 105: ' adds' | Latency: 18.83ms
Token 106: ' a' | Latency: 18.74ms
Token 107: ' level' | Latency: 18.69ms
Token 108: ' of' | Latency: 18.79ms
Token 109: ' upfront' | Latency: 18.74ms
Token 110: ' rigor' | Latency: 18.74ms
Token 111: ' but' | Latency: 18.62ms
Token 112: ' helps' | Latency: 18.71ms
Token 113: ' catch' | Latency: 18.68ms
Token 114: ' type' | Latency: 18.84ms
Token 115: ' errors' | Latency: 18.70ms
Token 116: ' during' | Latency: 18.80ms
Token 117: ' compilation' | Latency: 18.65ms
Token 118: ',' | Latency: 21.76ms
Token 119: ' leading' | Latency: 18.78ms
Token 120: ' to' | Latency: 18.65ms
Token 121: ' more' | Latency: 20.69ms
Token 122: ' robust' | Latency: 18.75ms
Token 123: ' code' | Latency: 18.45ms
Token 124: '.' | Latency: 21.64ms
Token 125: '

' | Latency: 20.02ms
Token 126: '**' | Latency: 19.97ms
Token 127: '2' | Latency: 18.41ms
Token 128: '.' | Latency: 19.81ms
Token 129: ' Programming' | Latency: 18.59ms
Token 130: ' Paradigm' | Latency: 18.68ms
Token 131: ':**' | Latency: 18.62ms
Token 132: '

' | Latency: 20.80ms
Token 133: '*' | Latency: 20.78ms
Token 134: ' **' | Latency: 18.63ms
Token 135: 'Python' | Latency: 20.85ms
Token 136: ':**' | Latency: 18.68ms
Token 137: ' Primarily' | Latency: 18.67ms
Token 138: ' object' | Latency: 18.75ms
Token 139: '-' | Latency: 18.52ms
Token 140: 'oriented' | Latency: 18.79ms
Token 141: ',' | Latency: 18.89ms
Token 142: ' but' | Latency: 18.76ms
Token 143: ' also' | Latency: 18.74ms
Token 144: ' supports' | Latency: 18.78ms
Token 145: ' procedural' | Latency: 18.66ms
Token 146: ' and' | Latency: 18.70ms
Token 147: ' functional' | Latency: 18.63ms
Token 148: ' programming' | Latency: 18.66ms
Token 149: ' styles' | Latency: 18.63ms
Token 150: '.' | Latency: 18.73ms
Token 151: ' Its' | Latency: 18.65ms
Token 152: ' syntax' | Latency: 21.10ms
Token 153: ' emphasizes' | Latency: 18.74ms
Token 154: ' readability' | Latency: 18.67ms
Token 155: ' and' | Latency: 18.69ms
Token 156: ' con' | Latency: 20.98ms
Token 157: 'cis' | Latency: 19.00ms
Token 158: 'eness' | Latency: 18.74ms
Token 159: '.' | Latency: 18.70ms
Token 160: '
' | Latency: 18.78ms
Token 161: '*' | Latency: 18.64ms
Token 162: ' **' | Latency: 18.67ms
Token 163: 'C' | Latency: 18.59ms
Token 164: '++' | Latency: 18.70ms
Token 165: ':**' | Latency: 18.60ms
Token 166: ' Multi' | Latency: 18.73ms
Token 167: '-' | Latency: 18.60ms
Token 168: 'para' | Latency: 18.82ms
Token 169: 'digm' | Latency: 18.68ms
Token 170: ' language' | Latency: 18.79ms
Token 171: ' supporting' | Latency: 18.73ms
Token 172: ' object' | Latency: 18.93ms
Token 173: '-' | Latency: 18.80ms
Token 174: 'oriented' | Latency: 18.86ms
Token 175: ',' | Latency: 18.72ms
Token 176: ' procedural' | Latency: 18.72ms
Token 177: ',' | Latency: 18.71ms
Token 178: ' and' | Latency: 18.70ms
Token 179: ' generic' | Latency: 18.66ms
Token 180: ' programming' | Latency: 18.69ms
Token 181: '.' | Latency: 18.61ms
Token 182: ' It' | Latency: 18.66ms
Token 183: ' offers' | Latency: 18.72ms
Token 184: ' greater' | Latency: 18.79ms
Token 185: ' control' | Latency: 21.26ms
Token 186: ' over' | Latency: 18.80ms
Token 187: ' memory' | Latency: 20.76ms
Token 188: ' management' | Latency: 18.89ms
Token 189: ' and' | Latency: 18.73ms
Token 190: ' hardware' | Latency: 18.75ms
Token 191: ' interaction' | Latency: 18.68ms
Token 192: '.' | Latency: 18.75ms
Token 193: '

' | Latency: 18.63ms
Token 194: '**' | Latency: 18.69ms
Token 195: '3' | Latency: 18.64ms
Token 196: '.' | Latency: 18.69ms
Token 197: ' Execution' | Latency: 18.63ms
Token 198: ' Speed' | Latency: 18.74ms
Token 199: ':**' | Latency: 18.66ms
Token 200: '

' | Latency: 18.67ms
Token 201: '*' | Latency: 18.63ms
Token 202: ' **' | Latency: 18.68ms
Token 203: 'Python' | Latency: 18.72ms
Token 204: ':**' | Latency: 18.82ms
Token 205: ' Interpre' | Latency: 18.66ms
Token 206: 'ted' | Latency: 18.65ms
Token 207: ' language' | Latency: 18.61ms
Token 208: '.' | Latency: 18.60ms
Token 209: ' Code' | Latency: 18.58ms
Token 210: ' is' | Latency: 18.66ms
Token 211: ' executed' | Latency: 18.67ms
Token 212: ' line' | Latency: 18.72ms
Token 213: ' by' | Latency: 18.69ms
Token 214: ' line' | Latency: 18.67ms
Token 215: ' by' | Latency: 18.67ms
Token 216: ' an' | Latency: 18.79ms
Token 217: ' interpreter' | Latency: 18.77ms
Token 218: ',' | Latency: 18.78ms
Token 219: ' which' | Latency: 18.59ms
Token 220: ' can' | Latency: 18.73ms
Token 221: ' be' | Latency: 18.49ms
Token 222: ' slower' | Latency: 18.71ms
Token 223: ' than' | Latency: 18.60ms
Token 224: ' compiled' | Latency: 18.75ms
Token 225: ' languages' | Latency: 18.64ms
Token 226: ' like' | Latency: 18.78ms
Token 227: ' C' | Latency: 20.91ms
Token 228: '++.' | Latency: 20.96ms
Token 229: '
' | Latency: 18.69ms
Token 230: '*' | Latency: 18.66ms
Token 231: ' **' | Latency: 18.71ms
Token 232: 'C' | Latency: 18.70ms
Token 233: '++' | Latency: 18.73ms
Token 234: ':**' | Latency: 18.84ms
Token 235: ' Compiled' | Latency: 18.71ms
Token 236: ' language' | Latency: 18.74ms
Token 237: '.' | Latency: 18.61ms
Token 238: ' Code' | Latency: 22.76ms
Token 239: ' is' | Latency: 18.66ms
Token 240: ' translated' | Latency: 18.76ms
Token 241: ' into' | Latency: 18.69ms
Token 242: ' machine' | Latency: 18.81ms
Token 243: ' code' | Latency: 18.73ms
Token 244: ' before' | Latency: 18.82ms
Token 245: ' execution' | Latency: 20.87ms
Token 246: ',' | Latency: 20.95ms
Token 247: ' resulting' | Latency: 18.69ms
Token 248: ' in' | Latency: 19.03ms
Token 249: ' significantly' | Latency: 18.47ms
Token 250: ' faster' | Latency: 18.83ms
Token 251: ' performance' | Latency: 18.78ms
Token 252: '.' | Latency: 18.89ms
Token 253: '

' | Latency: 18.75ms
Token 254: '**' | Latency: 18.90ms
Token 255: '4' | Latency: 18.72ms
Token 256: '.' | Latency: 18.74ms
Token 257: ' Memory' | Latency: 18.64ms
Token 258: ' Management' | Latency: 18.71ms
Token 259: ':**' | Latency: 18.67ms
Token 260: '

' | Latency: 18.78ms
Token 261: '*' | Latency: 19.51ms
Token 262: ' **' | Latency: 18.85ms
Token 263: 'Python' | Latency: 18.70ms
Token 264: ':**' | Latency: 18.80ms
Token 265: ' Automatic' | Latency: 18.72ms
Token 266: ' garbage' | Latency: 18.92ms
Token 267: ' collection' | Latency: 18.85ms
Token 268: '.' | Latency: 18.95ms
Token 269: ' Python' | Latency: 18.86ms
Token 270: ' handles' | Latency: 18.87ms
Token 271: ' memory' | Latency: 18.67ms
Token 272: ' allocation' | Latency: 18.77ms
Token 273: ' and' | Latency: 18.68ms
Token 274: ' deal' | Latency: 18.87ms
Token 275: 'location' | Latency: 20.81ms
Token 276: ' automatically' | Latency: 18.69ms
Token 277: ',' | Latency: 18.72ms
Token 278: ' simplifying' | Latency: 18.79ms
Token 279: ' development' | Latency: 18.80ms
Token 280: ' but' | Latency: 18.83ms
Token 281: ' potentially' | Latency: 19.97ms
Token 282: ' introducing' | Latency: 18.81ms
Token 283: ' overhead' | Latency: 18.83ms
Token 284: '.' | Latency: 18.95ms
Token 285: '
' | Latency: 20.06ms
Token 286: '*' | Latency: 18.96ms
Token 287: ' **' | Latency: 20.10ms
Token 288: 'C' | Latency: 18.85ms
Token 289: '++' | Latency: 19.99ms
Token 290: ':**' | Latency: 20.10ms
Token 291: ' Manual' | Latency: 18.39ms
Token 292: ' memory' | Latency: 18.73ms
Token 293: ' management' | Latency: 19.75ms
Token 294: '.' | Latency: 19.85ms
Token 295: ' Developers' | Latency: 18.57ms
Token 296: ' are' | Latency: 18.73ms
Token 297: ' responsible' | Latency: 18.71ms
Token 298: ' for' | Latency: 20.00ms
Token 299: ' allocating' | Latency: 19.86ms
Token 300: ' and' | Latency: 20.17ms
Token 301: ' freeing' | Latency: 18.61ms
Token 302: ' memory' | Latency: 18.83ms
Token 303: ',' | Latency: 19.90ms
Token 304: ' giving' | Latency: 20.00ms
Token 305: ' them' | Latency: 19.82ms
Token 306: ' more' | Latency: 18.83ms
Token 307: ' control' | Latency: 19.85ms
Token 308: ' but' | Latency: 18.74ms
Token 309: ' increasing' | Latency: 19.57ms
Token 310: ' the' | Latency: 19.93ms
Token 311: ' risk' | Latency: 18.65ms
Token 312: ' of' | Latency: 20.05ms
Token 313: ' memory' | Latency: 18.74ms
Token 314: ' leaks' | Latency: 19.91ms
Token 315: ' or' | Latency: 18.80ms
Token 316: ' segmentation' | Latency: 19.92ms
Token 317: ' faults' | Latency: 19.83ms
Token 318: ' if' | Latency: 19.89ms
Token 319: ' not' | Latency: 18.58ms
Token 320: ' handled' | Latency: 19.82ms
Token 321: ' carefully' | Latency: 18.54ms
Token 322: '.' | Latency: 18.66ms
Token 323: '

' | Latency: 19.86ms
Token 324: '**' | Latency: 18.73ms
Token 325: '5' | Latency: 19.83ms
Token 326: '.' | Latency: 18.89ms
Token 327: ' Libraries' | Latency: 20.05ms
Token 328: ' and' | Latency: 18.71ms
Token 329: ' Frameworks' | Latency: 20.03ms
Token 330: ':**' | Latency: 20.06ms
Token 331: '

' | Latency: 18.74ms
Token 332: '*' | Latency: 21.01ms
Token 333: ' **' | Latency: 18.55ms
Token 334: 'Python' | Latency: 21.15ms
Token 335: ':**' | Latency: 18.80ms
Token 336: ' Extensive' | Latency: 18.83ms
Token 337: ' ecosystem' | Latency: 18.61ms
Token 338: ' of' | Latency: 19.01ms
Token 339: ' libraries' | Latency: 18.88ms
Token 340: ' (' | Latency: 18.87ms
Token 341: 'Num' | Latency: 18.78ms
Token 342: 'Py' | Latency: 18.89ms
Token 343: ',' | Latency: 18.71ms
Token 344: ' Pandas' | Latency: 18.82ms
Token 345: ',' | Latency: 18.61ms
Token 346: ' Sci' | Latency: 18.83ms
Token 347: 'kit' | Latency: 18.60ms
Token 348: '-' | Latency: 18.91ms
Token 349: 'learn' | Latency: 18.91ms
Token 350: ',' | Latency: 18.78ms
Token 351: ' TensorFlow' | Latency: 18.85ms
Token 352: ')' | Latency: 18.92ms
Token 353: ' and' | Latency: 18.86ms
Token 354: ' frameworks' | Latency: 18.97ms
Token 355: ' (' | Latency: 18.76ms
Token 356: 'Django' | Latency: 18.85ms
Token 357: ',' | Latency: 18.61ms
Token 358: ' Flask' | Latency: 18.77ms
Token 359: ')' | Latency: 18.68ms
Token 360: ' for' | Latency: 18.73ms
Token 361: ' data' | Latency: 18.68ms
Token 362: ' science' | Latency: 18.83ms
Token 363: ',' | Latency: 18.78ms
Token 364: ' machine' | Latency: 18.93ms
Token 365: ' learning' | Latency: 18.89ms
Token 366: ',' | Latency: 18.95ms
Token 367: ' web' | Latency: 18.94ms
Token 368: ' development' | Latency: 19.96ms
Token 369: ',' | Latency: 18.86ms
Token 370: ' and' | Latency: 21.21ms
Token 371: ' more' | Latency: 18.81ms
Token 372: '.' | Latency: 18.70ms
Token 373: '
' | Latency: 18.78ms
Token 374: '*' | Latency: 18.92ms
Token 375: ' **' | Latency: 18.57ms
Token 376: 'C' | Latency: 18.71ms
Token 377: '++' | Latency: 18.72ms
Token 378: ':**' | Latency: 18.78ms
Token 379: ' Rich' | Latency: 18.72ms
Token 380: ' standard' | Latency: 18.76ms
Token 381: ' library' | Latency: 19.81ms
Token 382: ' and' | Latency: 18.87ms
Token 383: ' access' | Latency: 20.95ms
Token 384: ' to' | Latency: 19.74ms
Token 385: ' a' | Latency: 20.84ms
Token 386: ' wide' | Latency: 18.97ms
Token 387: ' range' | Latency: 18.83ms
Token 388: ' of' | Latency: 18.81ms
Token 389: ' third' | Latency: 18.71ms
Token 390: '-' | Latency: 18.97ms
Token 391: 'party' | Latency: 20.95ms
Token 392: ' libraries' | Latency: 18.77ms
Token 393: ' for' | Latency: 20.87ms
Token 394: ' tasks' | Latency: 18.77ms
Token 395: ' like' | Latency: 18.58ms
Token 396: ' game' | Latency: 18.75ms
Token 397: ' development' | Latency: 18.61ms
Token 398: ' (' | Latency: 18.72ms
Token 399: 'Unreal' | Latency: 18.78ms
Token 400: ' Engine' | Latency: 18.61ms
Token 401: '),' | Latency: 18.86ms
Token 402: ' systems' | Latency: 18.82ms
Token 403: ' programming' | Latency: 18.72ms
Token 404: ',' | Latency: 18.89ms
Token 405: ' and' | Latency: 18.68ms
Token 406: ' high' | Latency: 19.15ms
Token 407: '-' | Latency: 18.99ms
Token 408: 'performance' | Latency: 18.59ms
Token 409: ' computing' | Latency: 18.62ms
Token 410: '.' | Latency: 18.82ms
Token 411: '

' | Latency: 18.70ms
Token 412: '**' | Latency: 18.83ms
Token 413: '6' | Latency: 18.69ms
Token 414: '.' | Latency: 18.81ms
Token 415: ' Learning' | Latency: 18.81ms
Token 416: ' Curve' | Latency: 18.85ms
Token 417: ':**' | Latency: 18.69ms
Token 418: '

' | Latency: 18.81ms
Token 419: '*' | Latency: 18.79ms
Token 420: ' **' | Latency: 18.97ms
Token 421: 'Python' | Latency: 18.88ms
Token 422: ':**' | Latency: 18.95ms
Token 423: ' Generally' | Latency: 18.80ms
Token 424: ' considered' | Latency: 18.82ms
Token 425: ' easier' | Latency: 18.80ms
Token 426: ' to' | Latency: 18.83ms
Token 427: ' learn' | Latency: 18.78ms
Token 428: ' due' | Latency: 18.88ms
Token 429: ' to' | Latency: 18.75ms
Token 430: ' its' | Latency: 18.80ms
Token 431: ' simpler' | Latency: 18.75ms
Token 432: ' syntax' | Latency: 18.82ms
Token 433: ' and' | Latency: 18.85ms
Token 434: ' readability' | Latency: 18.95ms
Token 435: '.' | Latency: 18.86ms
Token 436: '
' | Latency: 19.04ms
Token 437: '*' | Latency: 18.81ms
Token 438: ' **' | Latency: 18.89ms
Token 439: 'C' | Latency: 18.69ms
Token 440: '++' | Latency: 18.82ms
Token 441: ':**' | Latency: 18.75ms
Token 442: ' Ste' | Latency: 18.85ms
Token 443: 'eper' | Latency: 18.88ms
Token 444: ' learning' | Latency: 18.92ms
Token 445: ' curve' | Latency: 18.98ms
Token 446: ' due' | Latency: 19.00ms
Token 447: ' to' | Latency: 18.95ms
Token 448: ' its' | Latency: 18.90ms
Token 449: ' complexities' | Latency: 18.89ms
Token 450: ' related' | Latency: 18.91ms
Token 451: ' to' | Latency: 18.95ms
Token 452: ' memory' | Latency: 18.90ms
Token 453: ' management' | Latency: 18.78ms
Token 454: ',' | Latency: 18.76ms
Token 455: ' pointers' | Latency: 18.79ms
Token 456: ',' | Latency: 18.89ms
Token 457: ' and' | Latency: 18.68ms
Token 458: ' templates' | Latency: 18.79ms
Token 459: '.' | Latency: 18.74ms
Token 460: '


' | Latency: 18.87ms
Token 461: '**' | Latency: 18.67ms
Token 462: 'When' | Latency: 18.76ms
Token 463: ' to' | Latency: 18.78ms
Token 464: ' Choose' | Latency: 18.90ms
Token 465: ' Which' | Latency: 18.75ms
Token 466: ':**' | Latency: 18.95ms
Token 467: '

' | Latency: 18.81ms
Token 468: '*' | Latency: 18.74ms
Token 469: ' **' | Latency: 18.70ms
Token 470: 'Python' | Latency: 18.79ms
Token 471: ':**' | Latency: 18.63ms
Token 472: ' Ideal' | Latency: 18.76ms
Token 473: ' for' | Latency: 18.71ms
Token 474: ':' | Latency: 18.86ms
Token 475: '
' | Latency: 18.76ms
Token 476: '    ' | Latency: 18.84ms
Token 477: '*' | Latency: 18.79ms
Token 478: ' Rapid' | Latency: 18.83ms
Token 479: ' prototyping' | Latency: 18.82ms
Token 480: ' and' | Latency: 18.92ms
Token 481: ' development' | Latency: 18.86ms
Token 482: '
' | Latency: 18.71ms
Token 483: '    ' | Latency: 18.73ms
Token 484: '*' | Latency: 18.82ms
Token 485: ' Data' | Latency: 18.65ms
Token 486: ' analysis' | Latency: 18.76ms
Token 487: ',' | Latency: 18.69ms
Token 488: ' machine' | Latency: 18.80ms
Token 489: ' learning' | Latency: 18.66ms
Token 490: ',' | Latency: 18.73ms
Token 491: ' and' | Latency: 18.78ms
Token 492: ' scientific' | Latency: 18.82ms
Token 493: ' computing' | Latency: 18.91ms
Token 494: '
' | Latency: 27.92ms
Token 495: '    ' | Latency: 18.81ms
Token 496: '*' | Latency: 18.84ms
Token 497: ' Web' | Latency: 18.84ms
Token 498: ' development' | Latency: 18.88ms
Token 499: ' (' | Latency: 18.90ms
Token 500: 'backend' | Latency: 18.96ms
Token 501: ')' | Latency: 19.05ms
Token 502: '
' | Latency: 19.04ms
Token 503: '    ' | Latency: 19.07ms
Token 504: '*' | Latency: 19.03ms
Token 505: ' Script' | Latency: 18.76ms
Token 506: 'ing' | Latency: 18.85ms
Token 507: ' and' | Latency: 18.63ms
Token 508: ' automation' | Latency: 18.76ms
Token 509: ' tasks' | Latency: 18.89ms
Token 510: '

' | Latency: 18.84ms
Token 511: '*' | Latency: 18.83ms
Token 512: ' **' | Latency: 18.99ms
Token 513: 'C' | Latency: 21.05ms
Token 514: '++' | Latency: 18.77ms
Token 515: ':**' | Latency: 18.74ms
Token 516: ' Suitable' | Latency: 18.74ms
Token 517: ' for' | Latency: 18.87ms
Token 518: ':' | Latency: 18.94ms
Token 519: '

' | Latency: 19.88ms
Token 520: '    ' | Latency: 18.85ms
Token 521: '*' | Latency: 18.98ms
Token 522: ' Performance' | Latency: 19.05ms
Token 523: '-' | Latency: 18.72ms
Token 524: 'critical' | Latency: 19.82ms
Token 525: ' applications' | Latency: 18.70ms
Token 526: ' like' | Latency: 18.72ms
Token 527: ' game' | Latency: 19.19ms
Token 528: ' engines' | Latency: 18.80ms
Token 529: ' and' | Latency: 21.07ms
Token 530: ' simulations' | Latency: 20.71ms
Token 531: '
' | Latency: 18.68ms
Token 532: '    ' | Latency: 20.68ms
Token 533: '*' | Latency: 19.85ms
Token 534: ' Systems' | Latency: 18.78ms
Token 535: ' programming' | Latency: 18.72ms
Token 536: ',' | Latency: 21.06ms
Token 537: ' operating' | Latency: 19.61ms
Token 538: ' systems' | Latency: 18.87ms
Token 539: ',' | Latency: 18.75ms
Token 540: ' and' | Latency: 20.59ms
Token 541: ' embedded' | Latency: 18.84ms
Token 542: ' systems' | Latency: 18.89ms
Token 543: '
' | Latency: 18.90ms
Token 544: '    ' | Latency: 18.89ms
Token 545: '*' | Latency: 19.91ms
Token 546: ' Applications' | Latency: 18.76ms
Token 547: ' requiring' | Latency: 18.69ms
Token 548: ' direct' | Latency: 18.76ms
Token 549: ' hardware' | Latency: 18.70ms
Token 550: ' control' | Latency: 18.87ms

--- Summary ---
Total tokens: 550
TTFT: 302.20ms
TPOT: 19.59ms
ITL Mean: 19.03ms
Throughput: 51.05 tok/s

============================================================
Request 3/5
Prompt: Write a short poem about artificial intelligence.
============================================================
Token 1: 'A' | Latency: 271.86ms
Token 2: ' mind' | Latency: 27.92ms
Token 3: ' of' | Latency: 18.40ms
Token 4: ' circuits' | Latency: 18.32ms
Token 5: ',' | Latency: 18.64ms
Token 6: ' cold' | Latency: 18.65ms
Token 7: ' and' | Latency: 18.49ms
Token 8: ' bright' | Latency: 18.69ms
Token 9: ',' | Latency: 18.70ms
Token 10: '
' | Latency: 18.78ms
Token 11: 'Learning' | Latency: 18.85ms
Token 12: ' patterns' | Latency: 18.76ms
Token 13: ',' | Latency: 19.58ms
Token 14: ' day' | Latency: 18.74ms
Token 15: ' and' | Latency: 19.73ms
Token 16: ' night' | Latency: 19.80ms
Token 17: '.' | Latency: 18.63ms
Token 18: '
' | Latency: 18.68ms
Token 19: 'Data' | Latency: 18.62ms
Token 20: ' flows' | Latency: 19.59ms
Token 21: ',' | Latency: 18.81ms
Token 22: ' a' | Latency: 18.76ms
Token 23: ' digital' | Latency: 20.66ms
Token 24: ' stream' | Latency: 20.82ms
Token 25: ',' | Latency: 18.61ms
Token 26: '
' | Latency: 18.44ms
Token 27: 'Awak' | Latency: 18.52ms
Token 28: 'ening' | Latency: 18.58ms
Token 29: ' from' | Latency: 18.62ms
Token 30: ' a' | Latency: 19.59ms
Token 31: ' coded' | Latency: 19.73ms
